place_id,day,hour,busy_percent
cb6fe4da-326e-5b16-b904-aa9012c65f33,Senin,4,3
cb6fe4da-326e-5b16-b904-aa9012c65f33,Senin,5,5
cb6fe4da-326e-5b16-b904-aa9012c65f33,Senin,6,8
cb6fe4da-326e-5b16-b904-aa9012c65f33,Senin,7,11
cb6fe4da-326e-5b16-b904-aa9012c65f33,Senin,8,13
cb6fe4da-326e-5b16-b904-aa9012c65f33,Senin,9,16
cb6fe4da-326e-5b16-b904-aa9012c65f33,Senin,10,22
cb6fe4da-326e-5b16-b904-aa9012c65f33,Senin,11,29
cb6fe4da-326e-5b16-b904-aa9012c65f33,Senin,12,31
cb6fe4da-326e-5b16-b904-aa9012c65f33,Senin,13,27
cb6fe4da-326e-5b16-b904-aa9012c65f33,Senin,14,23
cb6fe4da-326e-5b16-b904-aa9012c65f33,Senin,15,21
cb6fe4da-326e-5b16-b904-aa9012c65f33,Senin,16,22
cb6fe4da-326e-5b16-b904-aa9012c65f33,Senin,17,22
cb6fe4da-326e-5b16-b904-aa9012c65f33,Senin,18,21
cb6fe4da-326e-5b16-b904-aa9012c65f33,Senin,19,20
cb6fe4da-326e-5b16-b904-aa9012c65f33,Senin,20,19
cb6fe4da-326e-5b16-b904-aa9012c65f33,Senin,21,18
cb6fe4da-326e-5b16-b904-aa9012c65f33,Senin,22,14
cb6fe4da-326e-5b16-b904-aa9012c65f33,Senin,23,10
6bda3d68-06c7-5300-bb0f-e0aef72c486d,Senin,6,0
6bda3d68-06c7-5300-bb0f-e0aef72c486d,Senin,7,0
6bda3d68-06c7-5300-bb0f-e0aef72c486d,Senin,8,0
6bda3d68-06c7-5300-bb0f-e0aef72c486d,Senin,9,0
6bda3d68-06c7-5300-bb0f-e0aef72c486d,Senin,10,0
6bda3d68-06c7-5300-bb0f-e0aef72c486d,Senin,11,10
6bda3d68-06c7-5300-bb0f-e0aef72c486d,Senin,12,14
6bda3d68-06c7-5300-bb0f-e0aef72c486d,Senin,13,16
6bda3d68-06c7-5300-bb0f-e0aef72c486d,Senin,14,17
6bda3d68-06c7-5300-bb0f-e0aef72c486d,Senin,15,22
6bda3d68-06c7-5300-bb0f-e0aef72c486d,Senin,16,29
6bda3d68-06c7-5300-bb0f-e0aef72c486d,Senin,17,38
6bda3d68-06c7-5300-bb0f-e0aef72c486d,Senin,18,46
6bda3d68-06c7-5300-bb0f-e0aef72c486d,Senin,19,46
6bda3d68-06c7-5300-bb0f-e0aef72c486d,Senin,20,48
6bda3d68-06c7-5300-bb0f-e0aef72c486d,Senin,21,49
6bda3d68-06c7-5300-bb0f-e0aef72c486d,Senin,22,53
6bda3d68-06c7-5300-bb0f-e0aef72c486d,Senin,23,48
6bda3d68-06c7-5300-bb0f-e0aef72c486d,Senin,0,34
6bda3d68-06c7-5300-bb0f-e0aef72c486d,Senin,1,22
2d67d794-a276-5038-9ba8-d51bfdbef948,Senin,5,0
2d67d794-a276-5038-9ba8-d51bfdbef948,Senin,6,19
2d67d794-a276-5038-9ba8-d51bfdbef948,Senin,7,29
2d67d794-a276-5038-9ba8-d51bfdbef948,Senin,8,39
2d67d794-a276-5038-9ba8-d51bfdbef948,Senin,9,44
2d67d794-a276-5038-9ba8-d51bfdbef948,Senin,10,45
2d67d794-a276-5038-9ba8-d51bfdbef948,Senin,11,41
2d67d794-a276-5038-9ba8-d51bfdbef948,Senin,12,35
2d67d794-a276-5038-9ba8-d51bfdbef948,Senin,13,33
2d67d794-a276-5038-9ba8-d51bfdbef948,Senin,14,39
2d67d794-a276-5038-9ba8-d51bfdbef948,Senin,15,52
2d67d794-a276-5038-9ba8-d51bfdbef948,Senin,16,67
2d67d794-a276-5038-9ba8-d51bfdbef948,Senin,17,76
2d67d794-a276-5038-9ba8-d51bfdbef948,Senin,18,72
2d67d794-a276-5038-9ba8-d51bfdbef948,Senin,19,60
2d67d794-a276-5038-9ba8-d51bfdbef948,Senin,20,45
2d67d794-a276-5038-9ba8-d51bfdbef948,Senin,21,33
2d67d794-a276-5038-9ba8-d51bfdbef948,Senin,22,24
2d67d794-a276-5038-9ba8-d51bfdbef948,Senin,23,18
1baaafac-f894-5022-b084-4100f0ab7244,Senin,6,0
