place_id_text,uuid,nama
11cs0c_3z7,ceac34a8-23d4-5cb9-a0f0-2f074b32eeb8,Gedung Serbaguna Wanilan
11zf9_ny2j,fa25390a-0afa-587f-86ba-4a466fb81b5a,Gudang Serba Guna Mas Bro
11cjj6pnsy,fd88607d-e370-585a-9851-4b3aa9edb708,Kemala Ballroom
11dyl__ygj,cb6fe4da-326e-5b16-b904-aa9012c65f33,SWASANA GRAND SLIPI CONVENTION HALL
11b7f1lgv6,f03f1ad5-cc71-5a63-913d-b9638af0452a,Aula Gedung Serbaguna Komplek Hankam Slipi
11csqzbb8z,36234deb-3368-5704-88ae-2b46c4e8c6fb,Gedung Pernikahan SMK AL HUDA
11sqd4mqhc,35dfde75-57d6-5752-a251-48a9bafdf7ec,Aula As-Saminiah
11ymphhtzj,6bda3d68-06c7-5300-bb0f-e0aef72c486d,The Cue House
124yf5fvc,2c8b3edf-85fd-5832-a95d-67c3cd2b9ce1,Residence Casa Jardin
1yh5tbccd,517424ec-5404-5e73-bb4a-99479982a19e,apartement royal mediterania garden residence podomoro city
11mtn1pm64,4bd218f8-a8b2-572b-85c4-89c05d8bfc9c,Club House Casa Jardin Residence
1tkhffl3,2d67d794-a276-5038-9ba8-d51bfdbef948,Tangkas Sports Centre
1hm5d8pwc,f04edfab-d9a8-5dca-bb81-b7bc2d5965af,Komplek Kedoya Garden
1hm4911y8,e6adb728-5bd1-53c8-bd43-67b07d4a1c2b,Camden House Residence
11nxswjnr8,ba916dfd-8701-51ab-9018-18f130537be9,Green Mansion
11p796_9vz,1baaafac-f894-5022-b084-4100f0ab7244,Rumah Pohon Jakarta
11c0xq8nq8,cd79040c-b185-57a0-a201-5ee41101c098,Taman Wijaya Kusuma
11hzw4cvnj,347397bb-f3b4-56f6-88ce-10e294cf3183,Taman Green Garden
11fz9wxgqb,98afbc3f-dd98-5b75-891a-8ccad4efdb2c,Taman Sebrang Kantor Camat Kb. Jeruk
11lgddykr_,3af72c58-8af9-5594-9b7a-1a32b7aa6b7e,Taman Walikota Jakarta Barat
11q4bgd1_b,24b7cac1-bb52-5fe5-82d2-5b91fc9784b4,Taman Pulir
11ggvvklkp,01e80a4d-3148-5fc8-891e-947b98861367,Taman Kosambi
11h9bgrcxs,a799dc75-2e43-543b-969f-97aa5cfe5d9e,Taman Kebon Jeruk (Rumah Pohon)
11cnd4cs_c,b35883fe-7d8f-5704-877e-841fc17c65c6,Taman Komodo
11p14xcms6,883d2ce2-2569-5c3d-b781-c5d14c386085,Lapangan PB Purri Metro
11kqrj171p,ef4cea0a-e34e-5d3f-bc7f-7b752183576a,Asuka Badminton Hall
11k0yzg6bx,b094579c-ecb4-5923-bac5-c4b1bcdeb033,PBSI Garuda Badminton
11c2jl_k63,53add3ec-6af7-517e-9d6b-36707127352d,Lapangan Bulutangkis Talenta
11bw4p50s6,0e562db3-23df-5a4a-a15e-ceb1b38e748f,Royal Futsal / Sportpackers Legacy
1v3hxd59,78915963-aff6-5ec6-8f9a-17ecffd352b7,Pola Bugar Sport Center
1pzx97h0s,45ff1778-4a4e-5fdf-bc59-8849c128d18a,PADELIN Padel Court
1hm5wpw35,46873744-d498-5028-8fcc-9d27a881cc83,Gelanggang Jakarta Pusat
11h60p02lc,01b94e2a-d5b7-59cf-9062-bd417fac4a76,BC KGK (Komunitas Garuda Kapuk)
11f_b_dvl0,09fdfd83-1f25-5f26-ade9-4c96d4ff0242,Komunitas Pelajar Indonesia (KOPI)
11c6rh28fm,4bdb30b5-2f83-50b3-a44e-6f2517969ed2,Bascamp GGS SAHABAT UTAMA CENGKARENG TIMUR
11z6qlblv9,673280a2-c7fd-5cfc-a2de-f6d5e936f11e,KOPDARAN R15CI @JAKARTA BARAT
11yr4gxzff,f4d81c03-3387-54ac-a5fe-ae0be0d2c347,Ruang Cerita Jakarta
11vdjl_bgx,b98779d4-d175-5f6b-8703-c6f1dd7cd5ae,Ruang Bicara
11vx23x6rs,20fe543b-70bd-5409-ac6a-64248d623756,Kijang happy
11fhwtx_wf,44f863ac-40c9-511e-a787-b66637df8dee,Komunitas Sahabat UMKM
1223q9v6,c9c7177a-94b4-5de6-9a8c-5110a6ae62d1,Universitas Esa Unggul Kampus Jakarta
11trf9m_cc,04e27eee-e836-5106-b429-0219aa8e5a5b,Universitas Dian Nusantara Kampus Tanjung Duren
11rj4hgs5h,db756115-588e-55da-868e-6b6e4f8e6ab0,Universitas Dian Nusantara Kampus Greenville
1hc0hlyqq,83f506d1-e76d-58d3-b6ef-72284f298ae2,Universitas Satyagama Jakarta Barat
0x2e69f65cb460416b,62e34b48-fd63-5da4-8935-45625fd6ae9a,Universitas Trisakti
122h0lv7,7417e675-f773-53aa-a35f-9774b39c42cd,Universitas Mpu Tantular Kampus B
1tdkz_07,8d15bf29-9a39-5d62-8434-8caa1664fd2c,Universitas Bina Sarana Informatika Kampus Cengkareng (UBSI Cengkareng)
1v387bls,313a02d1-3279-54ac-a457-4fbe56e7592b,Universitas Tarumanagara
11f15kc9kw,2979cb94-92a2-5530-a745-4f7772620497,IPAL KOMUNAL rawa Melati Mandiri
11sx5fkgpl,d47570e4-a818-5d81-b143-d0bea7a44594,IPAL Komunal 1 Duri Utara
