keyword,nama,kategori,alamat,lat,lng,rating,jumlah_review,jam_operasional_raw,telepon,website,harga_text,price_level,url_google_maps,place_id
aula,Nafiri Convention Hall Central Park,Gedung Pertemuan,"Jl. Letjen S. Parman No.28 12, RT.12/RW.6, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",-6.1765856,106.7915794,4.8,657.0,Senin: 10.00–22.00 | Selasa: 10.00–22.00 | Rabu: 10.00–22.00 | Kamis: 10.00–22.00 | Jumat: 10.00–22.00 | Sabtu: 10.00–22.00 | Minggu: 10.00–22.00,021) 56985388,http://www.ndcministry.org/,,,"https://www.google.com/maps/place/Nafiri+Convention+Hall+Central+Park/@-6.1765856,106.7915794,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f65f9d433c71:0xad127915e1bac9b!8m2!3d-6.1765856!4d106.7915794!16s%2Fg%2F11c37_44hv?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",11c37_44hv
aula,Kemala Ballroom,Gedung Pertemuan,"Jl. Arjuna Utara No.9, RT.1/RW.2, Duri Kepa, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510",-6.1853077,106.7790606,4.6,256.0,Senin: 10.00–17.00 | Selasa: 10.00–17.00 | Rabu: 10.00–17.00 | Kamis: 10.00–17.00 | Jumat: 10.00–17.00 | Sabtu: 10.00–17.00 | Minggu: 10.00–17.00,0851-4728-7880,,,,"https://www.google.com/maps/place/Kemala+Ballroom/@-6.1853077,106.7790606,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f6fbae909675:0x8dfe621fa81778c4!8m2!3d-6.1853077!4d106.7790606!16s%2Fg%2F11cjj6pnsy?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",11cjj6pnsy
aula,The Vida Ballroom,Ruang Serbaguna,"Jl. Perjuangan No.8, RT.1/RW.7, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530",-6.1911516,106.7596054,4.4,1202.0,Senin: 08.00–17.00 | Selasa: 08.00–17.00 | Rabu: 08.00–17.00 | Kamis: 08.00–17.00 | Jumat: 08.00–17.00 | Sabtu: 12.00–18.00 | Minggu: 12.00–18.00,0811-8882-897,http://www.thevidaballroom.com/,,,"https://www.google.com/maps/place/The+Vida+Ballroom/@-6.1911516,106.7596054,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f71b04cc3c37:0xe0bab0cc25e78ab3!8m2!3d-6.1911516!4d106.7596054!16s%2Fg%2F11b6j48vlq?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",11b6j48vlq
aula,XO Hall,Ruang Serbaguna,"Jl. Tanjung Duren Barat III No.1, RT.9/RW.5, Tj. Duren Utara, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",-6.1777508,106.7802651,4.7,310.0,Senin: 07.00–21.00 | Selasa: 07.00–21.00 | Rabu: 07.00–21.00 | Kamis: 07.00–21.00 | Jumat: 07.00–21.00 | Sabtu: 07.00–21.00 | Minggu: 07.00–21.00,0811-8082-080,,,,"https://www.google.com/maps/place/XO+Hall/@-6.1777508,106.7802651,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f64c6e79acd3:0x11af83eb8647c8c9!8m2!3d-6.1777508!4d106.7802651!16s%2Fg%2F11c3tjv859?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",11c3tjv859
aula,Aula Gedung Serbaguna Komplek Hankam Slipi,Aula serbaguna,"RQ2V+77G, Jl. Kiwal, RT.6/RW.2, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.1993201,106.7931998,4.4,810.0,,05873167537,,,,"https://www.google.com/maps/place/Aula+Gedung+Serbaguna+Komplek+Hankam+Slipi/@-6.1993201,106.7931998,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f6c06eff719b:0x70c6e64536b27b65!8m2!3d-6.1993201!4d106.7931998!16s%2Fg%2F11b7f1lgv6?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",11b7f1lgv6
aula,Aula Karang Taruna,Gedung Pertemuan,"Rawa Belong 2 No.3, RT.3/RW.11, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.2015948,106.7882547,4.5,52.0,Rabu: sore dan Jumat sore di tunggu | Jumat: sore di tunggu,05873167537,,,,"https://www.google.com/maps/place/Aula+Karang+Taruna/@-6.2015948,106.7882547,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f6c3df1f7e67:0x6a69ab05ff820672!8m2!3d-6.2015948!4d106.7882547!16s%2Fg%2F11b6gjmmnm?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",11b6gjmmnm
aula,AULA RT 04 RW 011 RAWA BUAYA,Ruang Serbaguna,"Jl. Suka Menanti, RT.4/RW.11, Rw. Buaya, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11740",-6.1586404,106.7453933,4.9,29.0,Senin: Buka 24 jam | Selasa: Buka 24 jam | Rabu: Buka 24 jam | Kamis: Buka 24 jam | Jumat: Buka 24 jam | Sabtu: Buka 24 jam | Minggu: Buka 24 jam,05873167537,,,,"https://www.google.com/maps/place/AULA+RT+04+RW+011+RAWA+BUAYA/@-6.1586404,106.7453933,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f707dd0d9e15:0x5a79dbf4cfa504be!8m2!3d-6.1586404!4d106.7453933!16s%2Fg%2F11ssdp09y3?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",11ssdp09y3
halaman,Komplek Moneter Dep.keuangan,Otoritas Perumahan,"Jl. Kemanggisan Raya No.6 5, RT.6/RW.13, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.1929125,106.7843844,4.5,63.0,,05873167537,,,,"https://www.google.com/maps/place/Komplek+Moneter+Dep.keuangan/@-6.1929125,106.7843844,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f6e8d1f8a7e7:0xb514d9778c564687!8m2!3d-6.1929125!4d106.7843844!16s%2Fg%2F11c4bc24rz?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",11c4bc24rz
halaman,Green Mansion,Komplek perumahan,"Jl. Daan Mogot No.KM 10, RT.9/RW.3, Kedaung Kali Angke, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11710",-6.1581871,106.7638632,4.0,635.0,Senin: Buka 24 jam | Selasa: Buka 24 jam | Rabu: Buka 24 jam | Kamis: Buka 24 jam | Jumat: Buka 24 jam | Sabtu: Buka 24 jam | Minggu: Buka 24 jam,021) 54381077,http://www.greenmansion.org/,,,"https://www.google.com/maps/place/Green+Mansion/@-6.1581871,106.7638632,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f7946a8728c3:0x6def34e3e27ba3e6!8m2!3d-6.1581871!4d106.7638632!16s%2Fg%2F11nxswjnr8?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",11nxswjnr8
halaman,Camden House Residence,Perumahan,"Jl. Siantan No.3 4, RT.4/RW.8, Srengseng, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11630",-6.1988179,106.7522752,4.4,137.0,,021) 5865667,,,,"https://www.google.com/maps/place/Camden+House+Residence/@-6.1988179,106.7522752,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f715f7737787:0xc8c1cb1d7ad410d0!8m2!3d-6.1988179!4d106.7522752!16s%2Fg%2F1hm4911y8?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",1hm4911y8
