keyword,nama,kategori,alamat,lat,lng,rating,jumlah_review,jam_operasional_raw,telepon,website,fasilitas,fasilitas_count,has_busy_hours,total_open_hours_week,facility_score,foto_count,foto_urls,place_id,url_google_maps
aula,Gedung Serbaguna Wanilan,Aula serbaguna,"Jl. Tenis Raya No.12, RT.12/RW.14, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720",-6.1435759,106.748482,4.2,415,Senin: 09.00–22.00 | Selasa: 09.00–22.00 | Rabu: 09.00–22.00 | Kamis: 09.00–22.00 | Jumat: 09.00–22.00 | Sabtu: 09.00–22.00 | Minggu: 09.00–22.00,0896-3579-0042,,"Parkir, Kursi roda, Restoran, Bar, Tidak memiliki tempat parkir khusus pengguna kursi roda",5,False,91.0,2,2,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmTnIbgPD8EjyOrHFpPWuqcpPZ8riQJNS-XnapXxA8pud0I4HbG1ZPRcV-uS0jZw3Sj77sW0NjwuzLjYPklBFAWSEjqPO4Dv7YfvMlj3iJRIa80LCO_3sFckwPjui5IAyH_sNIB=s1024 | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlPWBkxXJap8nfH5UpBbulIywOxrS6x9aHgOx7KX3GQImpu1BJp5YeYU97lzDHKD8i746IJD8GdFRlEEDyF57k2DcHKRvzWo5tP-68-_ZipGp1ApollanEazQU4jT9ii_3r-cqK=s1024,11cs0c_3z7,"https://www.google.com/maps/place/Gedung+Serbaguna+Wanilan/@-6.1435759,106.748482,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f7dde71359d7:0xde17d4a65dfa3e30!8m2!3d-6.1435759!4d106.748482!16s%2Fg%2F11cs0c_3z7?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D"
aula,Gudang Serba Guna Mas Bro,Aula serbaguna,"Jl. Kp. Salo No.8, RT.6/RW.4, Kembangan Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610",-6.1627834,106.752836,1.0,1,Senin: 08.00–23.00 | Selasa: 08.00–23.00 | Rabu: 08.00–23.00 | Kamis: 08.00–23.00 | Jumat: 08.00–23.00 | Sabtu: 08.00–23.00 | Minggu: 08.00–23.00,0877-7195-7908,,"Parkir, Restoran, Bar, Ada tempat parkir di lokasi",4,False,105.0,1,2,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlPlA7OkLPC80iwakeuT2RPaBJPZXUZSzp1jVS2rK5aKI9cnGZTZ_mkbE0j7KQaTjpUtzDTtKAF2fOs6HJfv2tAt4OAuZglTcHJDGoSLn8SQJjxWK12VkiETUYNW3RHBxU0kYgzhhbSPqTY=s1024 | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlLkOgneK6LGqOQz3lqpi00pGwk1KgPu288EkEQ1Ru7iGxCuv8jdZVLCAUcyfQ9QYFcYmufucoKhNSz4s0nEzinb0YhEMa9pGLi0dHHKDJ7vnLPj5GjuUGKRCW6nI9DlxvGvumWythAJMxt=s1024,11zf9_ny2j,"https://www.google.com/maps/place/Gudang+Serba+Guna+Mas+Bro/@-6.1627834,106.752836,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f7e46060da79:0xe55778da4b50000f!8m2!3d-6.1627834!4d106.752836!16s%2Fg%2F11zf9_ny2j?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D"
aula,Kemala Ballroom,Gedung Pertemuan,"Jl. Arjuna Utara No.9, RT.1/RW.2, Duri Kepa, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510",-6.1853077,106.7790606,4.6,257,Senin: 10.00–17.00 | Selasa: 10.00–17.00 | Rabu: 10.00–17.00 | Kamis: 10.00–17.00 | Jumat: 10.00–17.00 | Sabtu: 10.00–17.00 | Minggu: 10.00–17.00,0851-4728-7880,,"Parkir, Toilet, Kursi roda, Restoran, Bar, Memiliki pintu masuk khusus pengguna kursi roda, Memiliki tempat parkir khusus pengguna kursi roda, Ada toilet khusus pengguna kursi roda, Ada toilet",9,False,49.0,3,8,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlO_AqO_baKkSUd_jGQ60dZwTbY1Ge02NTyQA-NAbD-CRjY5QBunYYYqRqp0mF8hwc8plesvV4VPQiQyNR9rJfgflyZEs2EeU40Jr0dnjCHEN_Rb8_LpwXFlfh_4m-_gaig_C9s=s1024 | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlJBsQfcG6H5Eyjl4LbMnUUCKGa1PrLYPl0mFMD96yUCWlrSmszkBq13A4yQK9Vlj4TD0Nb35RbAiWbogRfRJxWfZgI4p3aDXgY4tc5cYtIFeWCg_Ug1cwxFuDbN6fU6gHoJ0TrC9F-eRBQ=s1024 | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkSlzK9Nbvi4EoJMvM_Pes-QuyrOjEGRmQX3TZFBi5gyvOfNVLjZM8Cll35BsNThmTAv0SjqCdrn6SEpDqWBQ9V_RHCuO-gnpN1oQCeG1do7EDaC-cP9ML_4B88P4a-hjZxuxzX=s1024,11cjj6pnsy,"https://www.google.com/maps/place/Kemala+Ballroom/@-6.1853077,106.7790606,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f6fbae909675:0x8dfe621fa81778c4!8m2!3d-6.1853077!4d106.7790606!16s%2Fg%2F11cjj6pnsy?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D"
aula,SWASANA GRAND SLIPI CONVENTION HALL,Gedung Pernikahan,"Jl. Letjen S. Parman, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.2007999,106.7985726,4.6,1147,Senin: Buka 24 jam | Selasa: Buka 24 jam | Rabu: Buka 24 jam | Kamis: Buka 24 jam | Jumat: Buka 24 jam | Sabtu: Buka 24 jam | Minggu: Buka 24 jam,0811-8339-7121,/url?q=https://swasanawedding.com/grand-slipi-convention-hall/&opi=79508299&sa=U&ved=0ahUKEwiAmcT45cqWAxV4kuEIHb0EHqAQ61gIFygS&usg=AOvVaw3EbhupXqgoCNKnL4wmObgx,"Parkir, Toilet, Kursi roda, Restoran, Bar, Memiliki pintu masuk khusus pengguna kursi roda, Memiliki tempat parkir khusus pengguna kursi roda, Ada toilet khusus pengguna kursi roda, Ada toilet, Tempat parkir berbayar",10,True,168.0,3,8,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlkFwd0lcLSNjyjSHyiZpuYBf0L4T7pEBnuxtBxejc4jEcUlTHN1gS7RxeHx7EWH1fgv0tcdtcHVYJpHCLT21FF3VcJhSe_7_kRGIEoOWK4p-iAaoJwSZtICdW2V72y2QuSZSCC5w=s1024 | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnOiK-LSmFSLRhpyK6duXgMLYlyG4YxZd-SGnLAabKhmzesacRYMgnZiTOljhJZdhomT1ryjd6BOD-o0NQ_pHQArkzk47P1rbZwhPocvtDu-bOYCLWa7uqX3FwqZY3mb1HkMk8AnQ=s1024 | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl89SFFZSQviu6xRUG8XXlOn3IzoLNdveVRHNiy2iQpEDiadiGFasEB-lbg9aM64W2scAKnic58R95k41SPdMEuJnOhZQ-oXT9CHxW9D62rqWxNzWLXFEJ3xA6NoR12agUe4VVy=s1024,11dyl__ygj,"https://www.google.com/maps/place/SWASANA+GRAND+SLIPI+CONVENTION+HALL/@-6.2007999,106.7985726,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f6bef2eaaaab:0x480ecca810824c84!8m2!3d-6.2007999!4d106.7985726!16s%2Fg%2F11dyl__ygj?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D"
aula,Aula Gedung Serbaguna Komplek Hankam Slipi,Aula serbaguna,"RQ2V+77G, Jl. Kiwal, RT.6/RW.2, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.1993201,106.7931998,4.4,811,,000000014901161,,"Parkir, Toilet, Restoran, Bar, Tidak menyediakan layanan pengiriman, Ada toilet",6,False,0.0,2,10,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmQ_dkcLeqyW12-fcFpYZhWnHwVfYuqNNY6qWwCixFl-P2-s-8kVcXFGshsOUlUcbZKZ236_YF-EHYM_52mymGTRDNlq8PKKTn8gFJp9SBLV6wqv3yk554clg0zG3CWScPM2NRGO7Nnl5yZ=s1024 | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWn6rbX9Nb2UMWciSHeS7z6GNT_dA6UWVOzbSBKzeBgDvrENrToZgmb8ab3yzLgLjxSYTwdmFWfmK3QhVOGZDDchzOckAr_-oTp9hiaSEBVol9sEmW-n5u3TTRLLpAgvsTH721m7UbsVDpU=s1024 | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnBrpE0OlG8VwZTW2qG7yLYAJk27dBygOzjjUdYAmXi_uiF7OPOg6k1xN6FpHqHXDP91N7ee8JI5gfejvf9fjvPF-JC5NQ4KhHJC3_A-ewz4rKaYwJYeg2C3n7bd2mTWXyO0-O5-d_hsUgr=s1024,11b7f1lgv6,"https://www.google.com/maps/place/Aula+Gedung+Serbaguna+Komplek+Hankam+Slipi/@-6.1993201,106.7931998,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f6c06eff719b:0x70c6e64536b27b65!8m2!3d-6.1993201!4d106.7931998!16s%2Fg%2F11b7f1lgv6?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D"
aula,Gedung Pernikahan SMK AL HUDA,Gedung Pernikahan,"Jl. Outer Ring Road No.54, RT.6/RW.3, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730",-6.1496503,106.7270006,4.2,235,,000000014901161,,"Parkir, Toilet, Restoran, Bar, Ada toilet",5,False,0.0,2,6,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWltIWo-C-RxTqPdZTnEH1rtrst-mzFQdL4zZU261lpfIIy93Enb0F1QyMgFO0fteLKMcUZ4qWv-xayO3Nqi604rLfJA8_mAmrvHkMkHSBwX8z95wj_n5xK649kZ03ox4gJM_SkO2A=s1024 | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWl0o08vZgMVhl_-mjsAAk0jPxhUNh6J-MYlLXkZAUtH6TxeDbeSJThAnxhmSSZJleMe8KydAZ0c_DeHb93Icfeh0eczzdsXQVK3PfsvnnWgHoBOOa-impPWkuZLg9EZnPRRYj5k=s1024 | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWknkp4KiOyWTRYwX5hlypdFu1uQQg7JHFRDV7Bhl5BzK5vINLc-y0Ag5tBYaiwpi475oLEL5nZ37FvrsRanH4BTEPKNwIvpfho-2QZYr87UNket8xNXu2FEiZzZNKe32xwZoLQl0GqrNuTV=s1024,11csqzbb8z,"https://www.google.com/maps/place/Gedung+Pernikahan+SMK+AL+HUDA/@-6.1496503,106.7270006,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f7f7705d77a7:0x729f2bc90534c2ed!8m2!3d-6.1496503!4d106.7270006!16s%2Fg%2F11csqzbb8z?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D"
aula,Aula As-Saminiah,Gedung Pernikahan,"Gg. Pandan 1 No.11, RT.11/RW.5, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610",-6.1820722,106.7525595,4.7,3,,000000014901161,,"Parkir, Toilet, Restoran, Bar, Ada toilet",5,False,0.0,2,4,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnudK8oi4eNc-JOAEeNr1PM57RApjcuhkzRVkdmhtpHi0YX-GfMN6hQ0iH1dh5HVfgaFFvyQVTQVIEqEHxYxXqNA_g4x2_FSPM-R7QPKGzw8KF2Y71ynVUNK0i50o1_vft-bVXRyQ=s1024 | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmQ_dkcLeqyW12-fcFpYZhWnHwVfYuqNNY6qWwCixFl-P2-s-8kVcXFGshsOUlUcbZKZ236_YF-EHYM_52mymGTRDNlq8PKKTn8gFJp9SBLV6wqv3yk554clg0zG3CWScPM2NRGO7Nnl5yZ=s1024 | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWldYlnMmN-YqZCpV-JnvW4fGV2p2vgBRATFrdnUBq35-O0hpAoSB77aG3AF4mi5GQvPRZre018LCdB46ZBTH-kMphCGsyt1OyqudZJssEZ1XESrBh-o0yiaaBbcqV5-HvdVyZWQD4G1IxHG=s1024,11sqd4mqhc,"https://www.google.com/maps/place/Aula+As-Saminiah/@-6.1820722,106.7525595,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f745e089a3b3:0x4d101980755a269a!8m2!3d-6.1820722!4d106.7525595!16s%2Fg%2F11sqd4mqhc?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D"
aula,The Cue House,Tempat Biliar,"Jl. Daan Mogot Km. 1, No 111, RT.10/RW.2, Wijaya Kusuma, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460",-6.1634835,106.7766664,4.9,460,Senin: 10.00–04.00 | Selasa: 10.00–04.00 | Rabu: 10.00–04.00 | Kamis: 10.00–04.00 | Jumat: 10.00–04.00 | Sabtu: 10.00–04.00 | Minggu: 10.00–04.00,0889-2222-222,,"Parkir, Toilet, Parkir gratis, Reservasi, Restoran, Bar, Tersedia layanan di tempat, Menyediakan layanan pesan tempat, Ada toilet, Menerima reservasi, Parkir valet, Tempat parkir berbayar, Tempat parkir gratis",13,True,126.0,2,5,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlVbPbTj382UbIHQzFLMob4skcOvwQKHCVrAjzlbcxLBIutvejVCH5abKn_7BdyyI8Vrsepf3QsHlcj_Jb7T1EkR7StNQeVEvY06ofy5RNVylhHqDy1OdQYFebWqf_t_wyiaajVYk6a5xM=s1024 | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnsVXfMIDflrWFw8Lkf3OuynYckb0Z9W5Fq_ERs6EF3jK5ZrulMNtzQJSFIGlA6aGMGWJeBbw3N6tpjPoErUFLSaeLgYYaap0nL2kand_JyhsJGJli-w6y1NNGejKxCaH0pE3lQxViAFtZQ=s1024 | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmkG-Qz2bMun6LKaRCfFmhndgHjymbRIkk1tgvKeeR-6A9nwaLafjyznq3jOVuy-mpM7OY9IKK4aqpnd2G5G5lm7d1QSIRQbQNeNe88frdBi2zphxIFw7jLvvXRFpQVibDoocIY70UY3fIU=s1024,11ymphhtzj,"https://www.google.com/maps/place/The+Cue+House/@-6.1634835,106.7766664,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f75f2abdd939:0xe923c97ab2b0085c!8m2!3d-6.1634835!4d106.7766664!16s%2Fg%2F11ymphhtzj?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D"
halaman,Residence Casa Jardin,Perumahan,"Jl. Daan Mogot No.11, RT.1/RW.4, Kedaung Kali Angke, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11710",-6.1554385,106.7512724,4.4,1741,Senin: 09.00–18.30 | Selasa: 09.00–18.30 | Rabu: 09.00–18.30 | Kamis: 09.00–18.30 | Jumat: 09.00–18.30 | Sabtu: 09.00–18.30 | Minggu: 09.00–18.30,0812-1216-2348,/url?q=http://casajardin-residence.com/&opi=79508299&sa=U&ved=0ahUKEwjxv7_c5sqWAxVSjOEIHfWPB-cQ61gIFygS&usg=AOvVaw1pfDOpmhE62pkAXWBY3Goy,"Parkir, AC, Restoran, Bar, Kolam",5,False,66.5,2,10,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlirFuFIvBv7DIZUZzklkiGaf-TozXNBnhDgpz7DOIT29Q7dEJQxaGFpDlWq8NDraFw-_25PPMZNl0CLJVwUpgWLZ9O-cWrUIRvmh7mpI5-RV05te2aCWkq6f7TWS3oTWs0BI9v=s1024 | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkAk_ls1MG9vXT_Rg64HA2I-LwSNr7zfppCaYR3L3A_7HjnofBJRoU873EqFIcv9CPlzNKZhetoiaxI_XMdxvdnclA_iHw3XsStPF8364qDLSoNVjt1Qgy3oA0IP1mqwcKK_89i=s1024 | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmVAh1kKl9COm0MMhBd3uHfwd6GMZ87xHSv9P75wRZuB_ynofXLM63yARMbiFCSKhem7vzRRPmti5XMpWBmDC9CHTNAc7ZVukKm9Uoi1R6muPswMV83fupXymLJ5pAgdPazItHak3uU8FPU=s1024,124yf5fvc,https://www.google.com/maps/place/Residence+Casa+Jardin/data=!4m7!3m6!1s0x2e69f7c118d9cf7f:0xfac206204b9840f4!8m2!3d-6.1554385!4d106.7512724!16s%2Fg%2F124yf5fvc!19sChIJf8_ZGMH3aS4R9ECYSyAGwvo
halaman,apartement royal mediterania garden residence podomoro city,Gedung Apartemen,"Letjen S. Parman No.Kav.28, RT.15/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",-6.1764391,106.7891217,4.1,225,,021) 29206288,,"Parkir, Kursi roda, Restoran, Bar, Kolam, Gym, Memiliki pintu masuk khusus pengguna kursi roda, Memiliki tempat parkir khusus pengguna kursi roda",8,False,0.0,2,11,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmLhUym9ZdHvPbP2YUqql7CwSYKjNNYkWn4aexVmcTwtBcmwHF44rcGwFxjEXvG1PrP2j8wiy6PgtWnbstoz_-RKBWuJIrnE-naHm3XPsC0Yxg7onZqU4-vu8LegBPxQq6WKM46ZA=s1024 | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWn1byHk2XfYzL-lsT14d-mkOqYd5XjlHarDF5x1w3R7Vsqp6wrgOOnAvpJ-amVrMj2sagXZxUMrpLCizi7YR00dk2CYxnSkSyhBetPLWrmBZos9tE0BBsnvDQtJoKdaX5yEj41cHZqshVQ_=s1024 | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWn0qygn2bGdIjGY97NkFL9Lf5BOuU2eXadpZZZ7QIcbAiPrOb6R6DwVi_maDFNfWmzTE4fNRHhmaEx-cRQ9OdNSw6WAhpyJvb_S_axMzw0VbWrLHFCikrcnvwNxXATZaSHzrcc=s1024,1yh5tbccd,"https://www.google.com/maps/place/apartement+royal+mediterania+garden+residence+podomoro+city/@-6.1764391,106.7891217,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f65f2441833b:0xcb9754290990043d!8m2!3d-6.1764391!4d106.7891217!16s%2Fg%2F1yh5tbccd?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D"
