keyword,nama,kategori,kategori_list,alamat,lat,lng,rating,jumlah_review,status_buka,jam_operasional_raw,jam_Senin,jam_Selasa,jam_Rabu,jam_Kamis,jam_Jumat,jam_Sabtu,jam_Minggu,telepon,website,price_level,price_range,harga_text,url_google_maps,foto_count,foto_urls,fasilitas,plus_code,deskripsi,reviews_count_collected,scraped_at
gedung serbaguna,Gedung Serbaguna HKBP Cengkareng,Gedung Pertemuan,,"Jl. Bangun Nusa Raya No.2, RT.1/RW.3, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730",-6.1503841,106.7320302,4.3,108,,"Minggu: pagi sepertinya digunakan untuk kegiatan sekolah minggu.""",,,,,,,"pagi sepertinya digunakan untuk kegiatan sekolah minggu.""",021) 5413960,,,,,"https://www.google.com/maps/place/Gedung+Serbaguna+HKBP+Cengkareng/@-6.1503841,106.7320302,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f7f1cb5c1d6f:0xd48715c21a65a144!8m2!3d-6.1503841!4d106.7320302!16s%2Fg%2F11cltb31m4?entry=ttu&g_ep=EgoyMDI2MDgyNS4wIKXMDSoASAFQAw%3D%3D",12,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnEX_7qWqlJhtMrRrX3b7nlNOgVJh3W1gS2k1kqLY2XOgzBHVvEHw0kte6w_SkhvMuhfWJwyYATiRPvfI_0B-iSVUS_9pSXxlSU8CJV4UXvFoOHUSu5UgmV5YZeBDWacKoT7SIn=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnEX_7qWqlJhtMrRrX3b7nlNOgVJh3W1gS2k1kqLY2XOgzBHVvEHw0kte6w_SkhvMuhfWJwyYATiRPvfI_0B-iSVUS_9pSXxlSU8CJV4UXvFoOHUSu5UgmV5YZeBDWacKoT7SIn=w408-h306-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnEX_7qWqlJhtMrRrX3b7nlNOgVJh3W1gS2k1kqLY2XOgzBHVvEHw0kte6w_SkhvMuhfWJwyYATiRPvfI_0B-iSVUS_9pSXxlSU8CJV4UXvFoOHUSu5UgmV5YZeBDWacKoT7SIn=w397-h298-k-no,"Parkir, Toilet, AC","RPXJ+RR Cengkareng Tim., Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta",,5,2026-08-28T18:14:34.614978
gedung serbaguna,Kemala Ballroom,Gedung Pertemuan,,"Jl. Arjuna Utara No.9, RT.1/RW.2, Duri Kepa, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510",-6.1853077,106.7790606,4.6,256,Tutup · Buka Sab pukul 10.00,"Senin: 10.00–17.00
Selasa: 10.00–17.00
Rabu: 10.00–17.00
Kamis: 10.00–17.00
Jumat: 10.00–17.00
Sabtu: 10.00–17.00
Minggu: 10.00–17.00",10.00–17.00,10.00–17.00,10.00–17.00,10.00–17.00,10.00–17.00,10.00–17.00,10.00–17.00,0851-4728-7880,,,,,"https://www.google.com/maps/place/Kemala+Ballroom/@-6.1853077,106.7790606,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f6fbae909675:0x8dfe621fa81778c4!8m2!3d-6.1853077!4d106.7790606!16s%2Fg%2F11cjj6pnsy?entry=ttu&g_ep=EgoyMDI2MDgyNS4wIKXMDSoASAFQAw%3D%3D",12,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmRYY3mO7jBuDxgXtiBlGT_41dm-A0joTyLCnrcWJpb6W2YCuPqYjF61v3WzKp8AZ__ZHEYuozvoIS4JpRkGKoYo2gOPhWIMLMmCp-RTQAZLT4zjKzRS8Vbw5QWX0M0AlIi-PbZ=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmRYY3mO7jBuDxgXtiBlGT_41dm-A0joTyLCnrcWJpb6W2YCuPqYjF61v3WzKp8AZ__ZHEYuozvoIS4JpRkGKoYo2gOPhWIMLMmCp-RTQAZLT4zjKzRS8Vbw5QWX0M0AlIi-PbZ=w408-h544-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmRYY3mO7jBuDxgXtiBlGT_41dm-A0joTyLCnrcWJpb6W2YCuPqYjF61v3WzKp8AZ__ZHEYuozvoIS4JpRkGKoYo2gOPhWIMLMmCp-RTQAZLT4zjKzRS8Vbw5QWX0M0AlIi-PbZ=w224-h298-k-no,"Parkir, AC","RQ7H+VJ Duri Kepa, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta",,5,2026-08-28T18:15:14.479832
gedung serbaguna,"Gedung Serbaguna ""GSG"" Manba'ul Huda",Asosiasi/organisasi,,"Jl. H. Ja'ani No.3, RT.6/RW.11, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530",-6.1934982,106.7702721,4.9,33,,,,,,,,,,05873167537,,,,,"https://www.google.com/maps/place/Gedung+Serbaguna+%22GSG%22+Manba'ul+Huda/@-6.1934982,106.7702721,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f71d2318ae7f:0x9d50021cd5a16e36!8m2!3d-6.1934982!4d106.7702721!16s%2Fg%2F11s4stxsh7?entry=ttu&g_ep=EgoyMDI2MDgyNS4wIKXMDSoASAFQAw%3D%3D",10,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkfpmuE6IDqhIwmkH28tLdv99mRnILtNemZV6njxYtnQefVYq6rkMRYbkiyI1Czq3yztMhtis0vTO5RomKCMpnFxnIKggRcJfxWGQMR3Y4Nk2EEkv3qdM7yuxkWdVirNSP2lyN6uw=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkfpmuE6IDqhIwmkH28tLdv99mRnILtNemZV6njxYtnQefVYq6rkMRYbkiyI1Czq3yztMhtis0vTO5RomKCMpnFxnIKggRcJfxWGQMR3Y4Nk2EEkv3qdM7yuxkWdVirNSP2lyN6uw=w408-h862-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkfpmuE6IDqhIwmkH28tLdv99mRnILtNemZV6njxYtnQefVYq6rkMRYbkiyI1Czq3yztMhtis0vTO5RomKCMpnFxnIKggRcJfxWGQMR3Y4Nk2EEkv3qdM7yuxkWdVirNSP2lyN6uw=w224-h473-k-no,"Parkir, AC","RQ4C+J4 Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta",,5,2026-08-28T18:15:54.159600
gedung serbaguna,Aula Gedung Serbaguna Komplek Hankam Slipi,Aula serbaguna,,"RQ2V+77G, Jl. Kiwal, RT.6/RW.2, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.1993201,106.7931998,4.4,810,buka,,,,,,,,,05873167537,,,,,"https://www.google.com/maps/place/Aula+Gedung+Serbaguna+Komplek+Hankam+Slipi/@-6.1993201,106.7931998,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f6c06eff719b:0x70c6e64536b27b65!8m2!3d-6.1993201!4d106.7931998!16s%2Fg%2F11b7f1lgv6?entry=ttu&g_ep=EgoyMDI2MDgyNS4wIKXMDSoASAFQAw%3D%3D",15,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmeQ1UMuXq98uJm_zBLLKx9U7qkCfrRx-2NVZHmPo0IIJ7He7gP0iBuatznjx9XhBglePgDU0LYy6gnbyHWTq7weD3k8kQNHoQdXn_ONtgkJsSEScpyKLCqLpMw_8Uve7m7-PuP9J92fGE_=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmeQ1UMuXq98uJm_zBLLKx9U7qkCfrRx-2NVZHmPo0IIJ7He7gP0iBuatznjx9XhBglePgDU0LYy6gnbyHWTq7weD3k8kQNHoQdXn_ONtgkJsSEScpyKLCqLpMw_8Uve7m7-PuP9J92fGE_=w408-h544-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmeQ1UMuXq98uJm_zBLLKx9U7qkCfrRx-2NVZHmPo0IIJ7He7gP0iBuatznjx9XhBglePgDU0LYy6gnbyHWTq7weD3k8kQNHoQdXn_ONtgkJsSEScpyKLCqLpMw_8Uve7m7-PuP9J92fGE_=w224-h298-k-no,"Parkir, Toilet, AC","RQ2V+77G, Jl. Kiwal, RT.6/RW.2, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",,5,2026-08-28T18:16:33.660332
gedung serbaguna,The Vida Ballroom,Ruang Serbaguna,,"Jl. Perjuangan No.8, RT.1/RW.7, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530",-6.1911516,106.7596054,4.4,1202,Tutup · Buka Sab pukul 12.00,"Senin: 08.00–17.00
Selasa: 08.00–17.00
Rabu: 08.00–17.00
Kamis: 08.00–17.00
Jumat: 08.00–17.00
Sabtu: 12.00–18.00
Minggu: 12.00–18.00",08.00–17.00,08.00–17.00,08.00–17.00,08.00–17.00,08.00–17.00,12.00–18.00,12.00–18.00,0811-8882-897,/url?q=http://www.thevidaballroom.com/&opi=79508299&sa=U&ved=0ahUKEwj5zvWumcOWAxXJ2TgGHd7wLPEQ61gIFygS&usg=AOvVaw1hAbu7GipBgIsNPvXFoAxX,,,,"https://www.google.com/maps/place/The+Vida+Ballroom/@-6.1911516,106.7596054,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f71b04cc3c37:0xe0bab0cc25e78ab3!8m2!3d-6.1911516!4d106.7596054!16s%2Fg%2F11b6j48vlq?entry=ttu&g_ep=EgoyMDI2MDgyNS4wIKXMDSoASAFQAw%3D%3D",12,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnGEI_e-QEUmwglyFA8eyrORdUudJX1-tTinBhhMdwl-gyb0w-OC717sJ96XoXpFvIkd4eKXkh83B5K1M8sz1B7xn646DBOyA3ywmTEDU6IQrrsioKPg0JtojQdtm_cQP8_-YJ2=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnGEI_e-QEUmwglyFA8eyrORdUudJX1-tTinBhhMdwl-gyb0w-OC717sJ96XoXpFvIkd4eKXkh83B5K1M8sz1B7xn646DBOyA3ywmTEDU6IQrrsioKPg0JtojQdtm_cQP8_-YJ2=w426-h240-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnGEI_e-QEUmwglyFA8eyrORdUudJX1-tTinBhhMdwl-gyb0w-OC717sJ96XoXpFvIkd4eKXkh83B5K1M8sz1B7xn646DBOyA3ywmTEDU6IQrrsioKPg0JtojQdtm_cQP8_-YJ2=w529-h298-k-no,"Parkir, AC, Parking","RQ55+GR Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta",,5,2026-08-28T18:17:12.867001
gedung serbaguna,Gedung Serbaguna Wanilan,Aula serbaguna,,"Jl. Tenis Raya No.12, RT.12/RW.14, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720",-6.1435759,106.748482,4.2,415,Buka · Tutup pukul 22.00,"Senin: 09.00–22.00
Selasa: 09.00–22.00
Rabu: 09.00–22.00
Kamis: 09.00–22.00
Jumat: 09.00–22.00
Sabtu: 09.00–22.00
Minggu: 09.00–22.00",09.00–22.00,09.00–22.00,09.00–22.00,09.00–22.00,09.00–22.00,09.00–22.00,09.00–22.00,0896-3579-0042,,,,,"https://www.google.com/maps/place/Gedung+Serbaguna+Wanilan/@-6.1435759,106.748482,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f7dde71359d7:0xde17d4a65dfa3e30!8m2!3d-6.1435759!4d106.748482!16s%2Fg%2F11cs0c_3z7?entry=ttu&g_ep=EgoyMDI2MDgyNS4wIKXMDSoASAFQAw%3D%3D",15,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnplJDcZSwiFxVjfximuHQqWLsOUWULJZDA8m7nIU3Vx4i_Ha4XpUkEk6PSYyn5JrpTwQSaMDJC5tlCTrhfyNvzIZt6QQ4QRSCumyZp44pMkEi7mQICDyD_LOqHvrrPrPBV_XZP=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnplJDcZSwiFxVjfximuHQqWLsOUWULJZDA8m7nIU3Vx4i_Ha4XpUkEk6PSYyn5JrpTwQSaMDJC5tlCTrhfyNvzIZt6QQ4QRSCumyZp44pMkEi7mQICDyD_LOqHvrrPrPBV_XZP=w408-h611-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWnplJDcZSwiFxVjfximuHQqWLsOUWULJZDA8m7nIU3Vx4i_Ha4XpUkEk6PSYyn5JrpTwQSaMDJC5tlCTrhfyNvzIZt6QQ4QRSCumyZp44pMkEi7mQICDyD_LOqHvrrPrPBV_XZP=w224-h335-k-no,"Parkir, AC","VP4X+H9 Kapuk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta",,5,2026-08-28T18:17:52.709434
gedung serbaguna,SWASANA GRAND SLIPI CONVENTION HALL,Gedung Pernikahan,,"Jl. Letjen S. Parman, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.2007999,106.7985726,4.6,1146,Buka 24 jam,"Senin: Buka 24 jam
Selasa: Buka 24 jam
Rabu: Buka 24 jam
Kamis: Buka 24 jam
Jumat: Buka 24 jam
Sabtu: Buka 24 jam
Minggu: Buka 24 jam",Buka 24 jam,Buka 24 jam,Buka 24 jam,Buka 24 jam,Buka 24 jam,Buka 24 jam,Buka 24 jam,0811-8339-7121,/url?q=https://swasanawedding.com/grand-slipi-convention-hall/&opi=79508299&sa=U&ved=0ahUKEwiO-8zUmcOWAxUQ8zgGHbPzGl0Q61gIFygS&usg=AOvVaw0NOHQgJXxL6q_I2vcmPZ3K,,,,"https://www.google.com/maps/place/SWASANA+GRAND+SLIPI+CONVENTION+HALL/@-6.2007999,106.7985726,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f6bef2eaaaab:0x480ecca810824c84!8m2!3d-6.2007999!4d106.7985726!16s%2Fg%2F11dyl__ygj?entry=ttu&g_ep=EgoyMDI2MDgyNS4wIKXMDSoASAFQAw%3D%3D",14,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlItDyJI_-FqGQKH1ItM7e8OWHUs_uI_ZhuTY6YAcd1IGY5JEWNuHxL9m51xya66OR17oHvbsUYix_q-icjwqHq4joJr-t7SywHl2Oaijs5LQb21gKDZmRCFhrcpMr4xvsXplXW0Q=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlItDyJI_-FqGQKH1ItM7e8OWHUs_uI_ZhuTY6YAcd1IGY5JEWNuHxL9m51xya66OR17oHvbsUYix_q-icjwqHq4joJr-t7SywHl2Oaijs5LQb21gKDZmRCFhrcpMr4xvsXplXW0Q=w428-h240-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWlItDyJI_-FqGQKH1ItM7e8OWHUs_uI_ZhuTY6YAcd1IGY5JEWNuHxL9m51xya66OR17oHvbsUYix_q-icjwqHq4joJr-t7SywHl2Oaijs5LQb21gKDZmRCFhrcpMr4xvsXplXW0Q=w531-h298-k-no,"Parkir, Toilet, AC","QQXX+MC Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta",,5,2026-08-28T18:18:32.402053
co-working space,Co Work Building,Ruang Kerja Bersama,,"Jl. Panjang No.Kav. 10, RT.11/RW.10, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530",-6.1930484,106.7684877,4.0,23,,,,,,,,,,05873167537,,,,,"https://www.google.com/maps/place/Co+Work+Building/@-6.1930484,106.7684877,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f71dda97a38f:0xa5b13c214e7c206a!8m2!3d-6.1930484!4d106.7684877!16s%2Fg%2F11fxc0mfsd?entry=ttu&g_ep=EgoyMDI2MDgyNS4wIKXMDSoASAFQAw%3D%3D",10,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkpy3sVHQIm-_By0iJnwyq-NPNhf1frZTRmyZMioE8bpCDTSKcFwsJlDYMvtyKEkG2wFg8FULHMkyLzSCx3W2HdAb0WMg2NTqE5qW-hA1jTFinfRYdtmTQqnGI32O8TzyKcnGanCA=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkpy3sVHQIm-_By0iJnwyq-NPNhf1frZTRmyZMioE8bpCDTSKcFwsJlDYMvtyKEkG2wFg8FULHMkyLzSCx3W2HdAb0WMg2NTqE5qW-hA1jTFinfRYdtmTQqnGI32O8TzyKcnGanCA=w426-h240-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWkpy3sVHQIm-_By0iJnwyq-NPNhf1frZTRmyZMioE8bpCDTSKcFwsJlDYMvtyKEkG2wFg8FULHMkyLzSCx3W2HdAb0WMg2NTqE5qW-hA1jTFinfRYdtmTQqnGI32O8TzyKcnGanCA=w529-h298-k-no,Parkir,"RQ49+Q9 Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta",,5,2026-08-28T18:19:11.941844
co-working space,Social Hub by TwoSpaces,Ruang Kerja Bersama,,"Jl. Sosial No.52 53, RT.4/RW.2, Wijaya Kusuma, Grogol petamburan, West Jakarta City, Jakarta 11460",-6.1629183,106.7782936,4.1,301,Buka 24 jam,"Senin: Buka 24 jam
Selasa: Buka 24 jam
Rabu: Buka 24 jam
Kamis: Buka 24 jam
Jumat: Buka 24 jam
Sabtu: Buka 24 jam
Minggu: Buka 24 jam",Buka 24 jam,Buka 24 jam,Buka 24 jam,Buka 24 jam,Buka 24 jam,Buka 24 jam,Buka 24 jam,05873167537,,,,,"https://www.google.com/maps/place/Social+Hub+by+TwoSpaces/@-6.1629183,106.7782936,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f7d29cd9b283:0xe56c79d10359a17b!8m2!3d-6.1629183!4d106.7782936!16s%2Fg%2F11lgr88dlt?entry=ttu&g_ep=EgoyMDI2MDgyNS4wIKXMDSoASAFQAw%3D%3D",12,https://lh3.googleusercontent.com/gps-proxy/ALd4DhG27MD_Ux4ugi_iWGxRTsh-hSjCMHsFCmCgtuU5I907uqz2F4qVLo3dAy0R8PYRvbOGAqI0wvo5j4wQjxF3ILun4OiI5mvQgWO2GnNK8KlNcIX93_A191Xmb07VcpJxe4F1PouW2np0vVb00Ee13Dku1DHSGMOmP8DsgWFXRwUo0UySDweQoV8M=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-proxy/ALd4DhG27MD_Ux4ugi_iWGxRTsh-hSjCMHsFCmCgtuU5I907uqz2F4qVLo3dAy0R8PYRvbOGAqI0wvo5j4wQjxF3ILun4OiI5mvQgWO2GnNK8KlNcIX93_A191Xmb07VcpJxe4F1PouW2np0vVb00Ee13Dku1DHSGMOmP8DsgWFXRwUo0UySDweQoV8M=w408-h272-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWn0rQ3xcg6cgHgcXfG0mq1XXZD-6rDYICLo82-Cg8RHvtYD-9MJn1jRhDykhRi8Ls80pBDixp65hEQ7zycb5iQTQW1xWFCBu9de9dWELmcwLnu-ccJ7PDc5ht_GhB9kAtdQpnYo=w397-h298-k-no,"Parkir, AC","RQPH+R8 Wijaya Kusuma, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta",,5,2026-08-28T18:19:51.840141
co-working space,WEST 19 OFFICE SPACE,Ruang Kerja Bersama,,"Menara Citicon, Jl. Letjen S. Parman No.Kav. 72, RT.4/RW.3, Slipi, Kec. Palmerah, Kota Jakarta Barat, Provinsi DKI Jakarta Barat 11410",-6.1926119,106.7978442,5.0,50,Tutup,"Senin: 08.00–17.00
Selasa: 08.00–17.00
Rabu: 08.00–17.00
Kamis: 08.00–17.00
Jumat: 08.00–17.00
Sabtu: Tutup
Minggu: Tutup",08.00–17.00,08.00–17.00,08.00–17.00,08.00–17.00,08.00–17.00,Tutup,Tutup,05873167537,/url?q=https://west19.id/&opi=79508299&sa=U&ved=0ahUKEwja5bKNmsOWAxXJ2TgGHd7wLPEQ61gIEygO&usg=AOvVaw26jFhLFEdf2QSS1YavBr3T,,,,"https://www.google.com/maps/place/WEST+19+OFFICE+SPACE/@-6.1926119,106.7978442,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f70063d00bad:0x44c621b9b279b70e!8m2!3d-6.1926119!4d106.7978442!16s%2Fg%2F11w2_8tgz0?entry=ttu&g_ep=EgoyMDI2MDgyNS4wIKXMDSoASAFQAw%3D%3D",10,https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmvy2SuYD8YOEVpepilUM2RaCbLUvXHTehYqN__SLF5e6fOgsDDtlrw_julDz0IGABDl_tcHAAXuo4Cya3SV3G61DFernAOs3St1OU55IarVCchvDLRxMVQ96g7EQSsw_sklQwKGg=w32-h32-p-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmvy2SuYD8YOEVpepilUM2RaCbLUvXHTehYqN__SLF5e6fOgsDDtlrw_julDz0IGABDl_tcHAAXuo4Cya3SV3G61DFernAOs3St1OU55IarVCchvDLRxMVQ96g7EQSsw_sklQwKGg=w408-h278-k-no | https://lh3.googleusercontent.com/gps-cs-s/AHRPTWmvy2SuYD8YOEVpepilUM2RaCbLUvXHTehYqN__SLF5e6fOgsDDtlrw_julDz0IGABDl_tcHAAXuo4Cya3SV3G61DFernAOs3St1OU55IarVCchvDLRxMVQ96g7EQSsw_sklQwKGg=w436-h298-k-no,"Parkir, AC","RQ4X+X4 Slipi, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta",,5,2026-08-28T18:20:32.623479
