keyword,nama,kategori,alamat,lat,lng,rating,jumlah_review,jam_operasional_raw,status_buka,telepon,website,price_level,harga_text,fasilitas,fasilitas_count,popular_times,jam_ramai,has_busy_hours,total_open_hours_week,is_24h,has_weekend,jam_lengkap,facility_score,place_id,url_google_maps,wilayah_search,opportunity_score
aula,Gedung Serbaguna Wanilan,Aula serbaguna,"Jl. Tenis Raya No.12, RT.12/RW.14, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720",-6.1435759,106.748482,4.2,415,"Senin: 09.00–22.00
Selasa: 09.00–22.00
Rabu: 09.00–22.00
Kamis: 09.00–22.00
Jumat: 09.00–22.00
Sabtu: 09.00–22.00
Minggu: 09.00–22.00",Buka · Tutup pukul 22.00,0896-3579-0042,,,,"Parkir, Kursi roda, Restoran, Bar, Tidak memiliki tempat parkir khusus pengguna kursi roda",5,,,False,91.0,False,True,True,2,11cs0c_3z7,"https://www.google.com/maps/place/Gedung+Serbaguna+Wanilan/@-6.1435759,106.748482,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f7dde71359d7:0xde17d4a65dfa3e30!8m2!3d-6.1435759!4d106.748482!16s%2Fg%2F11cs0c_3z7?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",Jakarta Barat,0.45738782051282045
aula,Gudang Serba Guna Mas Bro,Aula serbaguna,"Jl. Kp. Salo No.8, RT.6/RW.4, Kembangan Utara, Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610",-6.1627834,106.752836,1.0,1,"Senin: 08.00–23.00
Selasa: 08.00–23.00
Rabu: 08.00–23.00
Kamis: 08.00–23.00
Jumat: 08.00–23.00
Sabtu: 08.00–23.00
Minggu: 08.00–23.00",Buka · Tutup pukul 23.00,0877-7195-7908,,,,"Parkir, Restoran, Bar, Ada tempat parkir di lokasi",4,,,False,105.0,False,True,True,1,11zf9_ny2j,"https://www.google.com/maps/place/Gudang+Serba+Guna+Mas+Bro/@-6.1627834,106.752836,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f7e46060da79:0xe55778da4b50000f!8m2!3d-6.1627834!4d106.752836!16s%2Fg%2F11zf9_ny2j?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",Jakarta Barat,1.5999999999999999
aula,Kemala Ballroom,Gedung Pertemuan,"Jl. Arjuna Utara No.9, RT.1/RW.2, Duri Kepa, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11510",-6.1853077,106.7790606,4.6,257,"Senin: 10.00–17.00
Selasa: 10.00–17.00
Rabu: 10.00–17.00
Kamis: 10.00–17.00
Jumat: 10.00–17.00
Sabtu: 10.00–17.00
Minggu: 10.00–17.00",Tutup · Buka Sel pukul 10.00,0851-4728-7880,,,,"Parkir, Toilet, Kursi roda, Restoran, Bar, Memiliki pintu masuk khusus pengguna kursi roda, Memiliki tempat parkir khusus pengguna kursi roda, Ada toilet khusus pengguna kursi roda, Ada toilet",9,,,False,49.0,False,True,True,3,11cjj6pnsy,"https://www.google.com/maps/place/Kemala+Ballroom/@-6.1853077,106.7790606,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f6fbae909675:0x8dfe621fa81778c4!8m2!3d-6.1853077!4d106.7790606!16s%2Fg%2F11cjj6pnsy?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",Jakarta Barat,0.23782945736434122
aula,SWASANA GRAND SLIPI CONVENTION HALL,Gedung Pernikahan,"Jl. Letjen S. Parman, RT.1/RW.4, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.2007999,106.7985726,4.6,1147,"Senin: Buka 24 jam
Selasa: Buka 24 jam
Rabu: Buka 24 jam
Kamis: Buka 24 jam
Jumat: Buka 24 jam
Sabtu: Buka 24 jam
Minggu: Buka 24 jam",Buka 24 jam,0811-8339-7121,/url?q=https://swasanawedding.com/grand-slipi-convention-hall/&opi=79508299&sa=U&ved=0ahUKEwiAmcT45cqWAxV4kuEIHb0EHqAQ61gIFygS&usg=AOvVaw3EbhupXqgoCNKnL4wmObgx,,,"Parkir, Toilet, Kursi roda, Restoran, Bar, Memiliki pintu masuk khusus pengguna kursi roda, Memiliki tempat parkir khusus pengguna kursi roda, Ada toilet khusus pengguna kursi roda, Ada toilet, Tempat parkir berbayar",10,"Jam ramai
Senin | 3% ramai pada pukul 04.00. | 5% ramai pada pukul 05.00. | 8% ramai pada pukul 06.00. | 11% ramai pada pukul 07.00. | 13% ramai pada pukul 08.00. | 16% ramai pada pukul 09.00. | 22% ramai pada pukul 10.00. | 29% ramai pada pukul 11.00. | 31% ramai pada pukul 12.00. | 27% ramai pada pukul 13.00. | 23% ramai pada pukul 14.00. | 21% ramai pada pukul 15.00. | 22% ramai pada pukul 16.00. | 22% ramai pada pukul 17.00. | 21% ramai pada pukul 18.00. | 20% ramai pada pukul 19.00. | 19% ramai pada pukul 20.00. | 18% ramai pada pukul 21.00. | 14% ramai pada pukul 22.00. | 10% ramai pada pukul 23.00. | populartimes.popup.show; focus:pane.focusTooltip; blur:pane.blurTooltip; keydown:pane.escapeTooltip""><span class=""google-symbols G47vBd OazX1c"" aria-hidden=""true"" style=""font-size: 18px;""></span></button><div class=""eho6bd"" role=""tooltip"" tabindex=""-1"" jsaction=""blur:pane.wfvdle10.populartimes.popup.hide; keydown:pane.wfvdle10.populartimes.popup.hide"" style=""display: none;""><div class=""G1Ydic""></div><div class=""wLiIdd fontBodySmall"" aria-label=""Berdasarkan kunjungan ke tempat ini.""><span>Berdasarkan kunjungan ke tempat ini.</span></div></div></div><div class=""epArK""></div><button class=""MYZx6c Hk4XGb"" jslog=""18021; track:click;metadata:WyIwYWhVS0V3aUFtY1Q0NWNxV0F4VjRrdUVJSGIwRUhxQVE4QmNJQWlnQSJd"" aria-label=""Kembali ke hari sebelumnya"" jsaction=""pane.wfvdle10.populartimes.arrow.left""><span class=""Ups","Jam ramai
Senin | 3% ramai pada pukul 04.00. | 5% ramai pada pukul 05.00. | 8% ramai pada pukul 06.00. | 11% ramai pada pukul 07.00. | 13% ramai pada pukul 08.00. | 16% ramai pada pukul 09.00. | 22% ramai pada pukul 10.00. | 29% ramai pada pukul 11.00. | 31% ramai pada pukul 12.00. | 27% ramai pada pukul 13.00. | 23% ramai pada pukul 14.00. | 21% ramai pada pukul 15.00. | 22% ramai pada pukul 16.00. | 22% ramai pada pukul 17.00. | 21% ramai pada pukul 18.00. | 20% ramai pada pukul 19.00. | 19% ramai pada pukul 20.00. | 18% ramai pada pukul 21.00. | 14% ramai pada pukul 22.00. | 10% ramai pada pukul 23.00. | populartimes.popup.show; focus:pane.focusTooltip; blur:pane.blurTooltip; keydown:pane.escapeTooltip""><span class=""google-symbols G47vBd OazX1c"" aria-hidden=""true"" style=""font-size: 18px;""></span></button><div class=""eho6bd"" role=""tooltip"" tabindex=""-1"" jsaction=""blur:pane.wfvdle10.populartimes.popup.hide; keydown:pane.wfvdle10.populartimes.popup.hide"" style=""display: none;""><div class=""G1Ydic""></div><div class=""wLiIdd fontBodySmall"" aria-label=""Berdasarkan kunjungan ke tempat ini.""><span>Berdasarkan kunjungan ke tempat ini.</span></div></div></div><div class=""epArK""></div><button class=""MYZx6c Hk4XGb"" jslog=""18021; track:click;metadata:WyIwYWhVS0V3aUFtY1Q0NWNxV0F4VjRrdUVJSGIwRUhxQVE4QmNJQWlnQSJd"" aria-label=""Kembali ke hari sebelumnya"" jsaction=""pane.wfvdle10.populartimes.arrow.left""><span class=""Ups",True,168.0,True,True,True,3,11dyl__ygj,"https://www.google.com/maps/place/SWASANA+GRAND+SLIPI+CONVENTION+HALL/@-6.2007999,106.7985726,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f6bef2eaaaab:0x480ecca810824c84!8m2!3d-6.2007999!4d106.7985726!16s%2Fg%2F11dyl__ygj?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",Jakarta Barat,0.520261324041812
aula,Aula Gedung Serbaguna Komplek Hankam Slipi,Aula serbaguna,"RQ2V+77G, Jl. Kiwal, RT.6/RW.2, Palmerah, Kec. Palmerah, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11480",-6.1993201,106.7931998,4.4,811,,buka,000000014901161,,,,"Parkir, Toilet, Restoran, Bar, Tidak menyediakan layanan pengiriman, Ada toilet",6,,,False,0.0,False,False,False,2,11b7f1lgv6,"https://www.google.com/maps/place/Aula+Gedung+Serbaguna+Komplek+Hankam+Slipi/@-6.1993201,106.7931998,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f6c06eff719b:0x70c6e64536b27b65!8m2!3d-6.1993201!4d106.7931998!16s%2Fg%2F11b7f1lgv6?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",Jakarta Barat,0.1803694581280787
aula,Gedung Pernikahan SMK AL HUDA,Gedung Pernikahan,"Jl. Outer Ring Road No.54, RT.6/RW.3, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730",-6.1496503,106.7270006,4.2,235,,,000000014901161,,,,"Parkir, Toilet, Restoran, Bar, Ada toilet",5,,,False,0.0,False,False,False,2,11csqzbb8z,"https://www.google.com/maps/place/Gedung+Pernikahan+SMK+AL+HUDA/@-6.1496503,106.7270006,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f7f7705d77a7:0x729f2bc90534c2ed!8m2!3d-6.1496503!4d106.7270006!16s%2Fg%2F11csqzbb8z?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",Jakarta Barat,0.2412711864406779
aula,Aula As-Saminiah,Gedung Pernikahan,"Gg. Pandan 1 No.11, RT.11/RW.5, Kembangan Sel., Kec. Kembangan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11610",-6.1820722,106.7525595,4.7,3,,,000000014901161,,,,"Parkir, Toilet, Restoran, Bar, Ada toilet",5,,,False,0.0,False,False,False,2,11sqd4mqhc,"https://www.google.com/maps/place/Aula+As-Saminiah/@-6.1820722,106.7525595,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f745e089a3b3:0x4d101980755a269a!8m2!3d-6.1820722!4d106.7525595!16s%2Fg%2F11sqd4mqhc?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",Jakarta Barat,0.16499999999999992
aula,The Cue House,Tempat Biliar,"Jl. Daan Mogot Km. 1, No 111, RT.10/RW.2, Wijaya Kusuma, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460",-6.1634835,106.7766664,4.9,460,"Senin: 10.00–04.00
Selasa: 10.00–04.00
Rabu: 10.00–04.00
Kamis: 10.00–04.00
Jumat: 10.00–04.00
Sabtu: 10.00–04.00
Minggu: 10.00–04.00",Buka · Tutup pukul 04.00,0889-2222-222,,,,"Parkir, Toilet, Parkir gratis, Reservasi, Restoran, Bar, Tersedia layanan di tempat, Menyediakan layanan pesan tempat, Ada toilet, Menerima reservasi, Parkir valet, Tempat parkir berbayar, Tempat parkir gratis",13,"Jam ramai
Senin | 0% ramai pada pukul 06.00. | 0% ramai pada pukul 07.00. | 0% ramai pada pukul 08.00. | 0% ramai pada pukul 09.00. | 0% ramai pada pukul 10.00. | 10% ramai pada pukul 11.00. | 14% ramai pada pukul 12.00. | 16% ramai pada pukul 13.00. | 17% ramai pada pukul 14.00. | 22% ramai pada pukul 15.00. | 29% ramai pada pukul 16.00. | 38% ramai pada pukul 17.00. | 46% ramai pada pukul 18.00. | 46% ramai pada pukul 19.00. | 48% ramai pada pukul 20.00. | 49% ramai pada pukul 21.00. | 53% ramai pada pukul 22.00. | 48% ramai pada pukul 23.00. | 34% ramai pada pukul 00.00. | 22% ramai pada pukul 01.00. | populartimes.popup.show; focus:pane.focusTooltip; blur:pane.blurTooltip; keydown:pane.escapeTooltip""><span class=""google-symbols G47vBd OazX1c"" aria-hidden=""true"" style=""font-size: 18px;""></span></button><div class=""eho6bd"" role=""tooltip"" tabindex=""-1"" jsaction=""blur:pane.wfvdle10.populartimes.popup.hide; keydown:pane.wfvdle10.populartimes.popup.hide"" style=""display: none;""><div class=""G1Ydic""></div><div class=""wLiIdd fontBodySmall"" aria-label=""Berdasarkan kunjungan ke tempat ini.""><span>Berdasarkan kunjungan ke tempat ini.</span></div></div></div><div class=""epArK""></div><button class=""MYZx6c Hk4XGb"" jslog=""18021; track:click;metadata:WyIwYWhVS0V3aW8tcl9JNXNxV0F4VUVrZUVJSFlKOUNXa1E4QmNJQWlnQSJd"" aria-label=""Kembali ke hari sebelumnya"" jsaction=""pane.wfvdle10.populartimes.arrow.left""><span class=""Ups","Jam ramai
Senin | 0% ramai pada pukul 06.00. | 0% ramai pada pukul 07.00. | 0% ramai pada pukul 08.00. | 0% ramai pada pukul 09.00. | 0% ramai pada pukul 10.00. | 10% ramai pada pukul 11.00. | 14% ramai pada pukul 12.00. | 16% ramai pada pukul 13.00. | 17% ramai pada pukul 14.00. | 22% ramai pada pukul 15.00. | 29% ramai pada pukul 16.00. | 38% ramai pada pukul 17.00. | 46% ramai pada pukul 18.00. | 46% ramai pada pukul 19.00. | 48% ramai pada pukul 20.00. | 49% ramai pada pukul 21.00. | 53% ramai pada pukul 22.00. | 48% ramai pada pukul 23.00. | 34% ramai pada pukul 00.00. | 22% ramai pada pukul 01.00. | populartimes.popup.show; focus:pane.focusTooltip; blur:pane.blurTooltip; keydown:pane.escapeTooltip""><span class=""google-symbols G47vBd OazX1c"" aria-hidden=""true"" style=""font-size: 18px;""></span></button><div class=""eho6bd"" role=""tooltip"" tabindex=""-1"" jsaction=""blur:pane.wfvdle10.populartimes.popup.hide; keydown:pane.wfvdle10.populartimes.popup.hide"" style=""display: none;""><div class=""G1Ydic""></div><div class=""wLiIdd fontBodySmall"" aria-label=""Berdasarkan kunjungan ke tempat ini.""><span>Berdasarkan kunjungan ke tempat ini.</span></div></div></div><div class=""epArK""></div><button class=""MYZx6c Hk4XGb"" jslog=""18021; track:click;metadata:WyIwYWhVS0V3aW8tcl9JNXNxV0F4VUVrZUVJSFlKOUNXa1E4QmNJQWlnQSJd"" aria-label=""Kembali ke hari sebelumnya"" jsaction=""pane.wfvdle10.populartimes.arrow.left""><span class=""Ups",True,126.0,False,True,True,2,11ymphhtzj,"https://www.google.com/maps/place/The+Cue+House/@-6.1634835,106.7766664,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f75f2abdd939:0xe923c97ab2b0085c!8m2!3d-6.1634835!4d106.7766664!16s%2Fg%2F11ymphhtzj?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",Jakarta Barat,0.3306507592190889
halaman,Residence Casa Jardin,Perumahan,"Jl. Daan Mogot No.11, RT.1/RW.4, Kedaung Kali Angke, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11710",-6.1554385,106.7512724,4.4,1741,"Senin: 09.00–18.30
Selasa: 09.00–18.30
Rabu: 09.00–18.30
Kamis: 09.00–18.30
Jumat: 09.00–18.30
Sabtu: 09.00–18.30
Minggu: 09.00–18.30",Tutup · Buka Sel pukul 09.00,0812-1216-2348,/url?q=http://casajardin-residence.com/&opi=79508299&sa=U&ved=0ahUKEwjxv7_c5sqWAxVSjOEIHfWPB-cQ61gIFygS&usg=AOvVaw1pfDOpmhE62pkAXWBY3Goy,,,"Parkir, AC, Restoran, Bar, Kolam",5,,,False,66.5,False,True,True,2,124yf5fvc,https://www.google.com/maps/place/Residence+Casa+Jardin/data=!4m7!3m6!1s0x2e69f7c118d9cf7f:0xfac206204b9840f4!8m2!3d-6.1554385!4d106.7512724!16s%2Fg%2F124yf5fvc!19sChIJf8_ZGMH3aS4R9ECYSyAGwvo,Jakarta Barat,0.33850554917719083
halaman,apartement royal mediterania garden residence podomoro city,Gedung Apartemen,"Letjen S. Parman No.Kav.28, RT.15/RW.5, Tj. Duren Sel., Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11470",-6.1764391,106.7891217,4.1,225,,buka,021) 29206288,,,,"Parkir, Kursi roda, Restoran, Bar, Kolam, Gym, Memiliki pintu masuk khusus pengguna kursi roda, Memiliki tempat parkir khusus pengguna kursi roda",8,,,False,0.0,False,False,False,2,1yh5tbccd,"https://www.google.com/maps/place/apartement+royal+mediterania+garden+residence+podomoro+city/@-6.1764391,106.7891217,17z/data=!3m1!4b1!4m6!3m5!1s0x2e69f65f2441833b:0xcb9754290990043d!8m2!3d-6.1764391!4d106.7891217!16s%2Fg%2F1yh5tbccd?entry=ttu&g_ep=EgoyMDI2MDgyNi4wIKXMDSoASAFQAw%3D%3D",Jakarta Barat,0.2713274336283187
